
in the sense that	在……意义上
strength and weaknesses


treat			处理
entire			整个的
embed			嵌入
idempotent		幂等
restrict		限定
indefinite		无限期的
labor			劳动
elaborate		详细描述
eliminate		消除
besides			除……之外
spam			垃圾邮件
commutative		交替的
generic			一般的
primitive		原生的
mistake			差错
inadvertent		不经意的
overheads		开销
incur			引起
overall			全面的
amortize		分期偿还
respect			尊重
implicit		隐式的
explicit		明确的
resilient		弹性的
frequent		频繁的
warm			暖和
prime			首要的
graceful		优雅的
bottleneck		瓶颈
unify			统一
coalesce		合并
feasible		可行的
sustain			维持
conservative	保守的
built-in		内置的
adopted			采用
granularity		粒度
official		官方的
definitive		明确的
pertinent		有关的
amendment		修改
disparate		完全不同的
restrict		限制
expectation		预期
prove			证明
proof			证明
corrupt			堕落
extract			提取
alternative		其它的
transparent		显然的
beneath			在下方
denote			指示
blind			失明的，弄瞎，蒙蔽
migrate			迁移
durable			持久的
populate		居住于
resilient		弹性的
critical		关键的，批评的
smooth			流畅的
handy			方便的
extensive		广泛的
raise			增加，养育
rough			粗糙的
vendor			供应商
manifestation	显示
variant			易变的
directive		指示
moment			片刻
resolve			决定，分解
ensemble		全体
factor in		包括
absence			缺席
optimal			最佳的
confidence		信任
boost			增加
slight			微小的，轻蔑
rule of thumb
speculative		推理的
occasional		偶尔的
compatible		和谐的
paragraph		段落
capture			捕获
interpret		翻译
convention		公约
obscure			昏暗的
prompt			提示，迅速的
approach		接近，方法
terminology		术语
alphabetical	按字母顺序的
lexicographical	按字母顺序的
alongside		在旁边
sparse			稀疏的
analogous		相似的
quota			指标
pin				针，牵制
coarse			粗糙的
tombstone		墓碑
confuse			混淆
mentione		提到
purge			清理
aim				瞄准
traffic			流量
negative		消极的
navigation		导航
phenomenon		现象
accompany		陪伴
freight			运输
facilitate		帮助
verbose			冗长的
hex				十六进制
conversation	交谈
comprehensive	综合的
regard to		至于
bootstrap		引导程序
voluminous		量大的
constraint		约束
parlance		说法
integrity		完整性
discourage		不鼓励
courage			勇气
dramatical		戏剧的
exhaustive		详尽的
monotonical		单调的
lack			缺乏
hosted on		托管在
commodity		日用品
out of the box
as opposed to	而不是
grain			谷物，纹理
compete			竞争
compound		复合
lease			租约
decompose		分解
steady			稳定的
drawback		缺点
tier			等级
deprecate		反对
terminology		术语
evict			驱逐
disregard		不顾
criteria		标准
allergic		过敏的
eligible		适当的
qualify			合格
quality			质量
ambiguous		模棱两可的
facade			外表
prevailed		流行
hinder			阻碍
adjacent 		相邻的
ship with		附带
symbol			象征，符号
contain			控制，包含
ensemble		集合(n)
intentional		故意的
international	国际的
internal		内部的
adverse			不利的
arbitrary	 	随意的
collision		冲突
render			使成为
influence		影响
interpret		解释
coherent		连贯的
honor			纪念
fragment		碎片
thumb			拇指
overwhelm		覆盖
trick			技巧，欺骗
sacrifice		牺牲
allot			分配
bring			引起
retrieve		恢复
nest			巢，嵌套
expert			专家
detach			分离
deviate			脱离
versa			反的
versus			对抗
intuitive		直观的
lightweight		轻量级的
fashion			方式
embrace			拥抱、采纳、包含
license			许可证
tremendous		极大的
federate		联邦
participate		参与
universal		普遍的、全休的
dense			稠密的
dissect			剖析
accurate		精准的
balance			账户余额
inspire			激励
elastic			弹性的
individually	各自地
interactive		互相作用的
improve			提高
concurrent		同时发生的
auxiliary		辅助的
illustrate		给…加插图 说明
compression chunk
arbitrary		随意的
robust			强壮的
fine-grained	细粒度的
fraud			欺诈
scam			诈骗
concern			涉及、关心
steal			偷
criminal		罪犯
purchase		购买
suspicious		可疑的
tutorial		教程
requisite		必须的
walkthrough		演练
stuck			卡住
ultimate		根本
habitat			栖息地
crucial			关键的
recognize		承认、识别
adult			成人
ingest			摄入
tumble			翻滚
guarantees		担保
anonymous		匿名的
